BN	TN	SN	seqNum	exeType	prepTime	exeTime	iti	hand	cuePress	cueMask	press1	press2	press3	press4	press5	press6	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
3	27	15	3	0	4000	2500	4000	2	555555	******	5	5	5	5	5	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	275000	275262	10506	276	168	1	0	
3	28	15	1	1	4000	2500	1000	2	111111	******	1	1	1	1	1	1	592.000	1538.000	2130.000	0	0	2	1	1	1	1	1	1	4592.000	4874.000	5136.000	5396.000	5678.000	5968.000	0.000	0.000	285500	285774	7506	286	675	1	0	
3	29	15	1	1	4000	2500	8000	2	111111	******	1	1	1	1	1	1	558.000	1576.000	2134.000	0	0	2	1	1	1	1	1	1	4558.000	4876.000	5148.000	5440.000	5694.000	5994.000	0.000	0.000	293000	293284	14506	294	183	1	0	
3	30	15	6	1	6000	2500	2000	2	513153	******	5	1	3	1	5	3	438.000	1424.000	1862.000	0	0	2	5	1	3	1	5	3	6438.000	6694.000	6970.000	7310.000	7490.000	7726.000	0.000	0.000	307500	307794	20506	308	688	1	0	
4	1	15	6	0	4000	2500	2000	2	513153	******	5	1	3	1	5	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10000	10000	8506	10	994	1	0	
4	2	15	2	1	4000	2500	2000	2	333333	******	3	3	3	3	3	3	430.000	1450.000	1880.000	0	0	2	3	3	3	3	3	3	4430.000	4712.000	4950.000	5192.000	5456.000	5732.000	0.000	0.000	18500	18509	8506	19	502	1	0	
4	3	15	3	0	6000	2500	1000	2	555555	******	5	5	5	5	5	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27000	27019	9506	28	9	1	0	
4	4	15	1	1	6000	2500	4000	2	111111	******	1	1	1	1	1	1	382.000	1562.000	1944.000	0	0	2	1	1	1	1	1	1	6382.000	6662.000	6912.000	7190.000	7468.000	7772.000	0.000	0.000	36500	36529	12506	37	516	1	0	
4	5	15	5	0	4000	2500	1000	2	351531	******	3	5	1	5	3	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	49000	49041	7506	50	22	1	0	
4	6	15	4	0	4000	2500	1000	2	135315	******	1	3	5	3	1	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	56500	56552	7506	57	532	1	0	
